date	plate	well	plasmid	host	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP	flag
02/10	A	E4	217	PHO2	5089	375003	1185.5	8041.3	1934.3000000000002	12158.5	fail
02/10	A	E5	194	PHO2	4872	396040.5	978.5	18383.8	1395.4	25741.899999999998	fail
02/10	A	E6	223	PHO2	5325	509748	2014.5	38282.3	1724.4	37720.4	fail
02/10	A	E7	223	PHO2	5333	504938	1997.5	42545.3	1731.2000000000003	42409.200000000004	fail
02/10	A	E8	223	PHO2	5440	468018	1686.5	32754.8	1662.9	35893.700000000004	fail
02/10	A	E9	194	PHO2	5114	358054	607.5	17057.3	1127.9	26670.8	fail
02/10	A	E10	194	PHO84	5296	396275	1046.5	29751.3	1519.3000000000002	41509.9	fail
02/10	A	E11	194	PHO84	5101	427597	1392.5	38011.3	1709.1	47840.4	fail
02/10	A	E12	194	PHO84	5067	409804	1307.5	34656.3	1723.6	45770.700000000004	fail
02/10	A	F1	NA	pho2∆	3504	481915.5	800.5	819.3	604.7	865.8	fail
02/10	A	F2	217	pho2∆	5144	409079.5	2086.5	10105.8	2881.9	13578.699999999999	fail
02/10	A	F3	217	pho2∆	5183	418784	2042.5	10521.3	2778.9	13858.4	fail
02/10	A	F4	217	pho2∆	5044	378119.5	1707	9507.3	2738.6	14217.199999999999	fail
02/10	A	F6	223	pho2∆	5003	389416	3092.5	14085.3	4637.4	20443.8	fail
02/10	A	F7	223	pho2∆	4893	362759	2444.5	12913.3	4133.6	19844	fail
02/10	A	F8	223	pho2∆	5045	374074	2581.5	12387.3	4136	18526.7	fail
02/10	A	F10	194	pho2∆	5079	374947	830.5	951.3	1363.2000000000003	1403.8999999999999	fail
02/10	A	F11	194	pho2∆	5238	373226	723	1288.8	1134	1867.5	fail
02/10	A	F12	194	pho2∆	5328	405081.5	1258.5	1414.3	1636.6	1864	fail
02/10	A	G1	194	PHO2	4996	414348.5	1223.5	18293.3	1602.6	24394.5	fail
02/10	A	G2	218	PHO2	1087	479055	2900.5	59888.3	3020.2999999999997	65383.4	fail
02/10	A	G5	194	PHO2	5122	422119.5	1319	21347.3	1683.7000000000003	27644.399999999998	fail
02/10	A	G6	224	PHO2	5135	382947	24.5	505.3	139.80000000000018	724.4	fail
02/10	A	G7	224	PHO2	5027	391035	787.5	938.3	1096.3000000000002	1279.2	fail
02/10	A	G8	224	PHO2	5020	384825.5	45.5	512.3	161.30000000000018	742.4	fail
02/10	A	G9	194	PHO2	4963	383168	867.5	18597.3	1360.6	26578.7	fail
02/10	A	G10	188	PHO2	5101	387131	708.5	14556.3	1109.6	20500.7	fail
02/10	A	G11	188	PHO2	5062	403189	931.5	17831.8	1284.1	23983.899999999998	fail
02/10	A	G12	188	PHO2	5063	386787	748.5	15278.3	1188.1	21541.8	fail
02/10	A	H2	218	pho2∆	4945	380012	3704.5	9569.3	5506.200000000001	13873.199999999999	fail
02/10	A	H3	218	pho2∆	4989	384043	3739.5	10653.3	5603.4	15629.5	fail
