date	plasmid	host	CV_BL1.H	CV_YL2.H	CV_FSC.H	well	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP
02/18	NA	pho2∆	1.033	0.25	0.031	F1	5126	408220	71.5	883.3	95.60000000000014	1163.5
02/18	NA	pho2∆	1.033	0.25	0.031	H5	5234	386814.5	-5.5	694.3	64.5	976.5
02/19	233	pho2∆	0.43	1.155	0.094	D10	4834	391435.5	4349	1230.8	5846.1	1721.3
02/19	233	pho2∆	0.43	1.155	0.094	D11	4993	391237	4712.5	1001.3	6402.299999999999	1380.7
02/19	233	pho2∆	0.43	1.155	0.094	D12	5008	331057.5	8998	7807.8	15378.499999999998	13498.3
02/19	240	PHO2	0.179	0.254	0.017	A10	5042	353262	1279.5	3837.8	2220.9	5993.8
02/19	240	PHO2	0.179	0.254	0.017	A11	5273	346476	1160.5	3038.3	2123.1	4904.8
02/19	240	PHO2	0.179	0.254	0.017	A12	5190	358581	1628.5	5046.8	2716.7000000000003	7759.7
02/19	241	PHO2	0.109	0.381	0.015	G2	4097	493807	2022.5	23817.3	1827.7000000000003	24288.8
02/19	241	PHO2	0.109	0.381	0.015	G3	5285	479488	2440.5	47947.3	2392.2000000000003	51785.5
02/19	241	PHO2	0.109	0.381	0.015	G4	5255	483879	2039.5	28708.3	1950.2000000000003	30271.2
02/19	NA	PHO2	0.998	0.672	0.006	D1	5375	361949	6.5	474.3	182.30000000000018	718.6999999999999
02/19	NA	PHO2	0.998	0.672	0.006	F5	5082	358838.5	56.5	1940.3	274.60000000000014	2919.6000000000004
02/19	NA	PHO2	0.998	0.672	0.006	H9	5116	357745.5	16.5	933.8	199	1440.3
02/19	NA	pho2∆	6.439	0.704	0.041	B9	5187	378003	23.5	878.3	149.70000000000005	1302.7
02/19	NA	pho2∆	6.439	0.704	0.041	F1	5113	358410	-24.5	1168.3	171.80000000000018	1823.5
02/19	NA	pho2∆	6.439	0.704	0.041	H5	5189	349084	-10.5	3099.3	213.10000000000014	4846.6
02/20	194	PHO2	0.296	0.138	0.045	A1	5260	430221.5	1664.5	30344.8	2125.5	39318
02/20	194	PHO2	0.296	0.138	0.045	A5	5187	437788	1685.5	31713.3	2096	40141
02/20	194	PHO2	0.296	0.138	0.045	A9	5213	396641	761.5	23150.3	1092.9	32498.8
02/20	194	PHO2	0.296	0.138	0.045	C1	5140	435363	1507.5	27290.3	1935	35090.8
02/20	194	PHO2	0.296	0.138	0.045	C5	5297	416539	1121.5	24806.3	1543.3000000000002	33193.600000000006
02/20	194	PHO2	0.296	0.138	0.045	C9	5453	386129	669.5	20018.3	1034.8000000000002	28926.3
02/20	194	PHO2	0.296	0.138	0.045	E1	5167	413917	1541.5	23111.3	2086.3	31431.3
02/20	194	PHO2	0.296	0.138	0.045	E5	5324	425076.5	1407.5	26063.8	1846.3000000000002	33952.8
02/20	194	PHO2	0.296	0.138	0.045	E9	5228	390401	893	22546.3	1319.7000000000003	31876.2
02/20	194	PHO2	0.296	0.138	0.045	G1	5154	413178	1339.5	23173.3	1796.4	31209.7
02/20	194	PHO2	0.296	0.138	0.045	G5	5229	410616	1247.5	24715.3	1705.6	33622
02/20	194	PHO2	0.296	0.138	0.045	G9	5293	386221	826.5	22174.3	1322.8000000000002	31425.6
02/20	265	pho2∆	0.233	0.105	0.021	B6	5125	388906	1975.5	5726.3	3109.4	8773.099999999999
02/20	265	pho2∆	0.233	0.105	0.021	B7	5250	394810.5	2583.5	5338.3	3915.0000000000005	8576.9
02/20	265	pho2∆	0.233	0.105	0.021	B8	5107	378636	1634.5	4643.3	2614.7000000000003	7615.6
02/20	NA	PHO2	2.891	0.024	0.017	D1	5138	379838	13.5	441.3	134	642.3
02/20	NA	PHO2	2.891	0.024	0.017	F5	5203	380265	8.5	461.3	127.70000000000005	664.1999999999999
02/20	NA	PHO2	2.891	0.024	0.017	H9	5035	368817	-71.5	459.3	43.700000000000045	693.8
02/20	NA	pho2∆	0.685	0.024	0.04	B9	5282	363652.5	-75.5	634.8	49.100000000000136	972.3
02/20	NA	pho2∆	0.685	0.024	0.04	F1	5174	393623	-17.5	611.8	47.90000000000009	858
02/20	NA	pho2∆	0.685	0.024	0.04	H5	5220	383565.5	-36.5	606.3	53.80000000000018	873.3
02/21	258	pho2∆	0.221	0.168	0.052	H10	5101	395923	3348.5	12911.3	4814.200000000001	18434.6
02/21	258	pho2∆	0.221	0.168	0.052	H11	4944	359367	2143.5	9200.8	3642.0000000000005	14664
02/21	258	pho2∆	0.221	0.168	0.052	H12	4961	366295	2686.5	11057.3	4384.299999999999	17184.6
02/21	265	PHO2	0.33	0.155	0.056	E6	5118	339511.5	721.5	6164.8	1507.8000000000002	10239.599999999999
02/21	265	PHO2	0.33	0.155	0.056	E7	5145	359398	1064.5	6962.3	1844.5	10788.199999999999
02/21	265	PHO2	0.33	0.155	0.056	E8	5221	321209	559.5	5086.3	1350.5	8984.199999999999
02/21	266	pho2∆	0.234	0.115	0.098	H6	4942	318029.5	1127.5	6457.8	2542.9	11855.099999999999
02/21	266	pho2∆	0.234	0.115	0.098	H7	4920	327046	1792	7940.3	3332.1	13613.4
