date	plasmid	host	CV_YL2.H	CV_BL1.H	CV_FSC.H	plate	well	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP
12/28	188	pho2∆	0.1	0.24	0.024	B	D2	7678	353869	567.5	8871.8	1125.9	14243.599999999999
12/28	188	pho2∆	0.1	0.24	0.024	B	D3	7540	366883.5	540.5	9402.3	1023.5999999999999	14723.099999999999
12/28	188	pho2∆	0.1	0.24	0.024	B	D4	7682	348353	354.5	8330.3	799.7	13254.199999999999
12/28	188	pho2∆	0.1	0.24	0.024	A	D2	7497	366966	720.5	10427.3	1247.4	15907.099999999999
12/28	188	pho2∆	0.1	0.24	0.024	A	D3	7418	356295	732.5	10868.8	1302.8000000000002	16786.2
12/28	188	pho2∆	0.1	0.24	0.024	A	D4	7720	369582	682.5	10018.8	1172.5	14837.9
12/28	194	PHO2	0.168	0.241	0.038	B	A1	7590	425229	1375.5	21842.3	1707.4	27829.899999999998
12/28	194	PHO2	0.168	0.241	0.038	B	A5	7668	414492	1188	18254.3	1552.5	24690.6
12/28	194	PHO2	0.168	0.241	0.038	B	A9	7864	400703	1148.5	15722.8	1670.4	22261.7
12/28	194	PHO2	0.168	0.241	0.038	B	C1	7984	386742.5	688.5	13429.3	1110.6	19416.899999999998
12/28	194	PHO2	0.168	0.241	0.038	B	C5	7847	414353	1076.5	16911.3	1439	22804.1
12/28	194	PHO2	0.168	0.241	0.038	B	C9	7852	429792.5	1445	20566.3	1801.7000000000003	26054.1
12/28	194	PHO2	0.168	0.241	0.038	B	E1	7915	373846	455.5	12901.3	819.6000000000001	19209.399999999998
12/28	194	PHO2	0.168	0.241	0.038	B	E5	7971	403577	865.5	15130.3	1261.7000000000003	21517.2
12/28	194	PHO2	0.168	0.241	0.038	B	E9	8033	426164	1266.5	19328.3	1640.2000000000003	25184.6
12/28	194	PHO2	0.168	0.241	0.038	B	G1	7841	400173	790.5	14194.3	1180.2000000000003	19876.3
12/28	194	PHO2	0.168	0.241	0.038	B	G5	7946	397120	715.5	13464.3	1055.7000000000003	19129.7
12/28	194	PHO2	0.168	0.241	0.038	B	G9	7937	407470	746.5	14069.3	1087.1	19546.8
